id,name_en,name_it,category,subcategory,lat,lon,radius_km,country,region,province,false_positive_confidence
etna-summit,Mt. Etna summit craters,Mt. Etna — crateri sommitali,volcanic,active_stratovolcano,37.751,14.9934,15.0,IT,Sicilia,Catania,1.0
stromboli,Stromboli volcano,Vulcano Stromboli,volcanic,continuously_active_volcano,38.789,15.213,5.0,IT,Sicilia,Messina,1.0
vulcano-fossa,La Fossa crater (Vulcano island),Cratere La Fossa (Isola di Vulcano),volcanic,fumarolic_field,38.404,14.964,3.0,IT,Sicilia,Messina,0.95
augusta-priolo-melilli,Augusta-Priolo-Melilli petrochemical complex,Polo petrolchimico Augusta-Priolo-Melilli,industrial,petrochemical_gas_flares,37.2,15.2,5.0,IT,Sicilia,Siracusa,0.98
gela-refinery,Gela refinery,Raffineria di Gela,industrial,refinery,37.06,14.27,3.0,IT,Sicilia,Caltanissetta,0.97
milazzo-refinery,Milazzo refinery,Raffineria di Milazzo,industrial,refinery_with_flare,38.22,15.24,3.0,IT,Sicilia,Messina,0.97
termini-imerese,Former Fiat plant + Termini Imerese industrial port,Ex stabilimento Fiat + porto industriale di Termini Imerese,industrial,industrial_port,37.99,13.7,3.0,IT,Sicilia,Palermo,0.9
catania-port,Catania port and industrial area,Porto e area industriale di Catania,industrial,port_industrial,37.5,15.1,2.0,IT,Sicilia,Catania,0.85
minedn37p050n14p650,"Candidate site at 37.050, 14.650","Sito candidato 37.050, 14.650",glasshouse_complex,candidate_persistent_anomaly,37.05,14.65,2.0,IT,Sicilia,,
minedn37p550n15p000,"Candidate site at 37.550, 15.000","Sito candidato 37.550, 15.000",quarry,candidate_persistent_anomaly,37.55,15.0,2.0,IT,Sicilia,,
minedn36p950n14p450,"Candidate site at 36.950, 14.450","Sito candidato 36.950, 14.450",glasshouse_complex,candidate_persistent_anomaly,36.95,14.45,2.0,IT,Sicilia,,
minedn36p950n14p950,"Candidate site at 36.950, 14.950","Sito candidato 36.950, 14.950",quarry,candidate_persistent_anomaly,36.95,14.95,2.0,IT,Sicilia,,
minedn37p150n14p600,"Candidate site at 37.150, 14.600","Sito candidato 37.150, 14.600",glasshouse_complex,candidate_persistent_anomaly,37.15,14.6,2.0,IT,Sicilia,,
minedn37p600n15p050,"Candidate site at 37.600, 15.050","Sito candidato 37.600, 15.050",urban,candidate_persistent_anomaly,37.6,15.05,2.0,IT,Sicilia,,
minedn37p250n14p450,"Candidate site at 37.250, 14.450","Sito candidato 37.250, 14.450",quarry,candidate_persistent_anomaly,37.25,14.45,2.0,IT,Sicilia,,
minedn36p800n14p950,"Candidate site at 36.800, 14.950","Sito candidato 36.800, 14.950",glasshouse_complex,candidate_persistent_anomaly,36.8,14.95,2.0,IT,Sicilia,,
minedn36p800n14p650,"Candidate site at 36.800, 14.650","Sito candidato 36.800, 14.650",glasshouse_complex,candidate_persistent_anomaly,36.8,14.65,2.0,IT,Sicilia,,
minedn36p750n14p950,"Candidate site at 36.750, 14.950","Sito candidato 36.750, 14.950",solar_farm,candidate_persistent_anomaly,36.75,14.95,2.0,IT,Sicilia,,
phoenix-36_9111-14_4283,Persistent thermal source 36.911°N 14.428°E,Fonte termica persistente 36.911°N 14.428°E,glasshouse_complex,plastic_polytunnel,36.9111,14.4283,0.5,IT,Sicilia,,1.0
phoenix-36_7915-14_6081,Persistent thermal source 36.791°N 14.608°E,Fonte termica persistente 36.791°N 14.608°E,glasshouse_complex,plastic_polytunnel,36.7915,14.6081,0.5,IT,Sicilia,,1.0
phoenix-36_9711-14_3681,Persistent thermal source 36.971°N 14.368°E,Fonte termica persistente 36.971°N 14.368°E,glasshouse_complex,plastic_polytunnel,36.9711,14.3681,0.5,IT,Sicilia,,1.0
phoenix-37_5094-14_9896,Persistent thermal source 37.509°N 14.990°E,Fonte termica persistente 37.509°N 14.990°E,industrial,landfill,37.5094,14.9896,0.5,IT,Sicilia,,0.85
